,Type,47 - 4,47 - 8,47 - 12,47 - 14,2 - 4,2 - 8,2 - 12,2 - 14
Loop Distance (mm),Raw,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4
Ave Loop Time (ms),Raw,26000,12100,8150,8000,27400,12200,7800,7400
Terminal Velocity (mm/s),Calculated,179.4384615,385.5702479,572.4417178,583.175,170.270073,382.4098361,598.1282051,630.4594595
,,,,,,,,,
,,,,,,,,,
Straight Distance (mm),Raw,282,282,282,282,282,282,282,282
Ave Straight Time (ms),Raw,2200,1100,602,600,2200,900,602,600
Deceleration Distance (cm),Raw,23,56.5,95,102.5,34,63,97.5,99
Velocity Before Decel (mm/s),Calculated,128.1818182,256.3636364,468.4385382,470,128.1818182,313.3333333,468.4385382,470
Deceleration (mm/s^2),Calculated,35.71864894,58.16133987,115.4919285,107.7560976,24.16261546,77.91887125,112.530597,111.5656566
,,,,,,,,,
Acceleration Distance (mm),Raw,289,300,300,300,300,300,300,300
Acceleration Time (ms),Raw,3200,3000,3150,3000,3400,3300,3300,3300
Acceleration (mm/s^2),Calculated,56.4453125,66.66666667,60.4686319,66.66666667,51.90311419,55.09641873,55.09641873,55.09641873
