,,2,,,,,,,,,,
,,4,5,6,7,8,9,10,11,12,13,14
,Type,,,,,,,,,,,
Loop Distance (mm),Raw,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4
Ave Loop Time 1 loops (ms),Raw,28000,21000,17100,14100,12200,10700,9500,8600,7900,7700,8000
Loop Velocity (mm/s),Calculated,166.6214286,222.1619048,272.8304094,330.8794326,382.4098361,436.0186916,491.0947368,542.4883721,590.556962,605.8961039,583.175
Stop Distance (cm),,,,214.8,,,,,,,,
Average stop Distance Straight E13 (cm),Raw,,E10,43.925,,,,,,,,
Average stop Distance Curved E10 (cm),Raw,,B13,42,,,,,,,,
Average stop Distance Curved B13 (cm),Raw,,E13,42.96,,,,,,,,
Average stop Distance Curved D1 (cm),,,D1,44.1,,,,,,,,
Average stop distance (cm),,,,43.24625,,,,,,,,
,,,,,,,,,,,,
,,77,,,,,,,,,,
,,4,5,6,7,8,9,10,11,12,13,14
,Type,,,,,,,,,,,
Loop Distance (mm),Raw,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4
Ave Loop Time 4 loops (ms),Raw,,,117800,89600,71400,59200,49400,42000,36800,32400,30500
Loop Velocity (mm/s),Calculated,,,158.417657,208.2767857,261.3669468,315.2297297,377.7651822,444.3238095,507.1086957,575.9753086,611.8557377
,,,,,,,,,,,,
,,,,59000,45000,35800,29600,25000,21200,18600,16400,15100
,,,,158.1491525,207.3511111,260.6368715,315.2297297,373.232,440.1320755,501.655914,568.9512195,617.9337748
,,,,,,,,,,,,
,,,,,,,,,,,,
,,54,,,,,,,,,,
,,4,5,6,7,8,9,10,11,12,13,14
,Type,,,,,,,,,,,
Loop Distance (mm),Raw,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4
Ave Loop Time 4 loops (ms),Raw,106800,80600,65400,54200,48400,43200,38800,35000,33600,35000,35800
Loop Velocity (mm/s),Calculated,174.7340824,231.5334988,285.3455657,344.3099631,385.5702479,431.9814815,480.9690722,533.1885714,555.4047619,533.1885714,521.273743
Average stop Distance Straight E13 (cm),Raw,,,41.56666667,,,,,,,,
Average stop Distance Curved E10 (cm),Raw,,,42.95,,,,,,,,
Average stop Distance Curved B13 (cm),Raw,,,42.275,,,,,,,,
Average stop Distance Curved D1 (cm),Raw,,,41.9,,,,,,,,
Average stop distance (cm),Calculated,,,42.17291667,,,,,,,,
,,,,,,,,,,,,
,,58,,,,,,,,,,
,,4,5,6,7,8,9,10,11,12,13,14
,Type,,,,,,,,,,,
Loop Distance (mm),Raw,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4
Ave Loop Time 4 loops (ms),Raw,,,154600,109000,84000,66800,55400,45400,39200,34200,35000
Loop Velocity (mm/s),Calculated,,,120.7089263,171.2073394,222.1619048,279.3652695,336.8519856,411.0484581,476.0612245,545.6608187,533.1885714
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1,,,,,,,,,,
,,4,5,6,7,8,9,10,11,12,13,14
,Type,,,,,,,,,,,
Loop Distance (mm),Raw,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4,4665.4
Ave Loop Time 4 loops (ms),Raw,,,183200,101400,78600,62000,51600,43200,38200,33400,31400
Loop Velocity (mm/s),Calculated,,,101.8646288,184.0394477,237.4249364,300.9935484,361.6589147,431.9814815,488.5235602,558.7305389,594.3184713
Average stop Distance Straight E13 (cm),Raw,,,10.075,15.725,22.975,,,,,,
Average stop Distance Curved E10 (cm),Raw,,,,6.8,25.25,,,,,,
Average stop Distance Curved B13 (cm),Raw,,,,7.7,24.55,,,,,,
Average stop Distance Curved D1 (cm),,,,,,25.23333333,,,,,,
Average stopping distance (cm),,,,,,24.50208333,,,,,,
Deceleration (mm/s^2),,,,,,115.03226,,,,,,
